,Site,Crop,Experiment,Treatment ,Mineral N kg/ha/y,farmyard manure t/ha/year,Reported yield data (t DM/ha),Mean,min_yield,max_yield,Soil texture,LAT,SIMUID_1,Sand,Silt,Clay,variable,Yield
76,Ivanovice,WWHT,DP04-mono,111+112,120.0,0.0,grain,5.610066666666666,2.2704,8.2302,,,,,,,2000,5.4782
77,Ivanovice,BARL,DP04-mono,211+212,50.0,0.0,grain,5.54542111111111,2.1672,8.0668,,,,,,,2000,4.00158
234,Horažďovice,WWHT,AZP,0,0.0,0.0,grain,5.4624992,4.0592,8.091496,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,4.9536
236,Horažďovice,WWHT,AZP,FYM.,0.0,10.0,grain,5.8462032,4.3258,8.169616,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,5.2718
238,Horažďovice,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,7.4651157333333344,6.002800000000001,9.530378666666667,loamy sand,49.34,23089.0,82.0,13.0,5.0,2000,6.467199999999999
240,Chrastava,WWHT,AZP,0,0.0,0.0,grain,3.8863849333333333,2.8036,5.422524666666667,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,3.9559999999999995
242,Chrastava,WWHT,AZP,FYM.,0.0,10.0,grain,4.370847866666667,3.5603999999999996,5.591639333333333,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,4.5838
244,Chrastava,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,5.576490133333333,4.739850666666666,6.3726,loamy sand,50.82,26459.0,82.0,13.0,5.0,2000,5.9856
246,Jaroměřice,WWHT,AZP,0,0.0,0.0,grain,4.728002133333333,3.827,6.336810666666666,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,3.827
249,Jaroměřice,WWHT,AZP,FYM.,0.0,10.0,grain,4.768098933333333,3.8958000000000004,6.227694666666666,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,3.8958000000000004
252,Jaroměřice,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,5.406926266666667,3.8184000000000005,6.665,clay loam,49.1,27966.0,35.0,30.0,35.0,2000,3.8184000000000005
255,Krásné Údolí,WWHT,AZP,0,0.0,0.0,grain,4.854699999999999,4.515,5.3062,,,,,,,2000,4.5924
256,Krásné Údolí,WWHT,AZP,FYM.,0.0,10.0,grain,5.24815,4.489199999999999,6.0286,,,,,,,2000,4.489199999999999
257,Krásné Údolí,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,8.09905,6.785399999999999,9.073,,,,,,,2000,9.073
258,Libějovice,WWHT,AZP,0,0.0,0.0,grain,4.474866666666667,3.9646000000000003,4.816,,,,,,,2000,4.644
259,Libějovice,WWHT,AZP,FYM.,0.0,10.0,grain,4.793066666666667,4.2741999999999996,5.332,,,,,,,2000,4.773
260,Libějovice,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,5.862333333333333,5.3234,6.8198,,,,,,,2000,5.4438
261,Lípa,WWHT,AZP,0,0.0,0.0,grain,3.366772689548186,1.4447999999999999,4.3172,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,4.3172
264,Lípa,WWHT,AZP,FYM.,0.0,10.0,grain,3.575761884816754,1.2126,5.185209424083769,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,4.085
267,Lípa,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,5.7118781384525885,3.354,7.583990692262942,sandy loam,49.56,27951.0,65.0,25.0,10.0,2000,6.1232
270,Pusté Jakartice,WWHT,AZP,0,0.0,0.0,grain,4.555761451851852,2.1586,6.8972,loam,49.98,29745.0,40.0,40.0,20.0,2000,2.1586
272,Pusté Jakartice,WWHT,AZP,FYM.,0.0,10.0,grain,5.1708242962962965,2.537,7.0778,loam,49.98,29745.0,40.0,40.0,20.0,2000,2.537
274,Pusté Jakartice,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,5.620796562962963,3.0444,8.2732,loam,49.98,29745.0,40.0,40.0,20.0,2000,3.0444
276,Sedlec,WWHT,AZP,0,0.0,0.0,grain,5.0338666666666665,2.1757999999999997,6.6822,,,,,,,2000,6.2436
277,Sedlec,WWHT,AZP,FYM.,0.0,10.0,grain,5.220199999999999,2.4166,6.7768,,,,,,,2000,6.467199999999999
278,Sedlec,WWHT,AZP,N3P3K3+FYM,60.0,10.0,grain,5.5040000000000004,2.58,7.1724,,,,,,,2000,6.7596
279,Staňkov,WWHT,AZP,0,0.0,0.0,grain,5.070570388059702,2.6574,7.3014,loam,49.55,23179.0,40.0,40.0,20.0,2000,5.3835999999999995
